pickup_dow,pickup_dow_num,pickup_hour,trip_count,avg_fare,avg_tip,avg_tip_pct
Saturday,7,7,8856,23.027048328816615,2.359245709123755,0.12624182354749536
Saturday,7,8,13702,20.183723544008235,2.3996044373084247,0.1513134460197139
Saturday,7,9,21100,19.102820853080665,2.330960189573458,0.15622347229329236
Saturday,7,10,26048,18.426888436732227,2.500980881449625,0.1703394701768727
Saturday,7,11,29984,19.278508537886953,2.710680696371391,0.17288810226950455
Saturday,7,12,32466,19.63571582578703,2.720949608821522,0.1707240529208385
Saturday,7,13,34054,20.384400070476453,2.8784339578316587,0.1708556816870381
Saturday,7,14,37537,21.05867171057896,2.953557556544196,0.16692442934619198
Saturday,7,15,37062,21.68092412713836,3.0981695537207816,0.16912511623056464
Saturday,7,16,39455,21.29278950703341,3.0376644278291622,0.16848724304419732
Saturday,7,17,41439,20.897759357127452,2.886025000603279,0.16709984889233254
Saturday,7,18,44776,19.97544019117397,2.6076876005002556,0.15824922604978747
Saturday,7,19,39521,19.83507451734531,2.601989828192602,0.15908511889490926
Saturday,7,20,32222,19.68532617466336,2.7349211718701554,0.16903152173906072
Saturday,7,21,34678,19.35177547724786,2.745978141761361,0.17223480562366345
Saturday,7,22,39548,19.81495119854358,2.639561292606462,0.1635956053780034
Saturday,7,23,41356,21.263529838475808,2.3141283006093496,0.14002329256234428
